id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2021-0021,1,2021-02-26,5,calle,"yrigoyen, hipolito y 24 de noviembre",3,-58.41168345,-34.61185625,moto,objeto fijo,viernes,conductor,moto,masculino,39
2021-0022,1,2021-02-28,12,avenida,del libertador av. y roosevelt franklin d.,13,-58.45157681,-34.55217303,pasajeros,sd,domingo,pasajero_acompañante,pasajeros,masculino,68
2021-0023,1,2021-03-01,9,autopista,,4,,,moto,cargas,lunes,conductor,moto,masculino,24
2021-0024,1,2021-03-03,16,avenida,"peron, eva av. y piedra buena av.",9,-58.49573651,-34.67006054,bicicleta,cargas,miércoles,ciclista,bicicleta,masculino,5
2021-0025,1,2021-03-11,3,autopista,"paz, gral. av. y autopista dellepiane luis tte. gral.",8,-58.48695354,-34.68795245,moto,otro,jueves,conductor,moto,masculino,37
2021-0026,1,2021-03-15,2,autopista,"autopista 1 sur presidente arturo frondizi y quinquela martin, benito",4,-58.37562539,-34.64449357,moto,objeto fijo,lunes,conductor,moto,masculino,36
2021-0027,1,2021-03-16,15,autopista,"paz, gral. av. y donado",12,-58.49491054,-34.54795581,moto,cargas,martes,conductor,moto,femenino,19
2021-0028,1,2021-03-29,17,avenida,"corea av. y torres y tenorio, pres.",7,-58.44147621,-34.64357704,peaton,pasajeros,lunes,peaton,peaton,masculino,0
2021-0029,1,2021-03-31,18,avenida,"falcon, ramon l.,cnel. y san pedrito av.",7,-58.46899119,-34.63215432,auto,auto,miércoles,conductor,auto,masculino,26
2021-0030,1,2021-04-03,18,calle,finochietto enrique dr. 1623,4,-58.38685612,-34.63455776,peaton,pasajeros,sábado,peaton,peaton,masculino,36
2021-0031,1,2021-04-07,10,avenida,9 de julio av. e independencia av.,1,-58.38113667,-34.61765323,peaton,cargas,miércoles,peaton,peaton,femenino,68
2021-0032,1,2021-04-10,19,autopista,"cantilo, int. y guiraldes, int.",13,-58.44112678,-34.54538956,peaton,moto,sábado,peaton,peaton,masculino,60
2021-0033,1,2021-04-14,17,autopista,autopista 25 de mayo y boedo av.,5,-58.41595919,-34.62743346,auto,objeto fijo,miércoles,conductor,auto,masculino,33
2021-0034,1,2021-04-19,14,avenida,"alcorta, amancio av. y zavaleta",4,-58.40184094,-34.64546845,moto,cargas,lunes,pasajero_acompañante,moto,femenino,26
2021-0035,1,2021-05-03,9,avenida,"janer, ana maria y lafuente av.",8,-58.44642231,-34.65679806,moto,cargas,lunes,conductor,moto,masculino,24
2021-0036,1,2021-05-09,6,autopista,"paz, gral. av. y mosconi general av.",11,-58.52340614,-34.59798754,moto,objeto fijo,domingo,conductor,moto,masculino,36
2021-0037,1,2021-05-11,7,avenida,"monroe y balbin, ricardo, dr. av.",13,-58.46649069,-34.56219075,peaton,pasajeros,martes,peaton,peaton,femenino,58
2021-0038,1,2021-05-14,11,avenida,"justo, juan b. av. y santa fe av.",14,-58.42653328,-34.57816791,moto,cargas,viernes,conductor,moto,femenino,44
2021-0039,1,2021-05-15,12,avenida,"oliden y alberdi, juan bautista av.",9,-58.50407099,-34.65303372,bicicleta,auto,sábado,ciclista,bicicleta,masculino,86
2021-0040,1,2021-05-20,5,autopista,"paz, gral. av. y del libertador av.",13,-58.46743471,-34.53476874,moto,auto,jueves,conductor,moto,masculino,27
2021-0041,1,2021-05-20,8,avenida,del libertador av. y casares av.,14,-58.40986646,-34.5772806,peaton,pasajeros,jueves,peaton,peaton,masculino,75
2021-0042,1,2021-05-21,5,avenida,rivadavia av. 10900,9,-58.51739138,-34.63931792,peaton,pasajeros,viernes,peaton,peaton,masculino,39
2021-0043,1,2021-05-22,18,avenida,"alberdi, juan bautista av. y pilar",9,-58.50719962,-34.65556223,peaton,auto,sábado,peaton,peaton,masculino,50
2021-0044,1,2021-05-25,2,avenida,"peron, eva av. y acosta, mariano",9,-58.46712311,-34.64600222,moto,objeto fijo,martes,pasajero_acompañante,moto,masculino,21
2021-0045,1,2021-05-26,17,autopista,autopista 1 sur presidente arturo frondizi y suarez av.,4,-58.37709334,-34.64035082,moto,multiple,miércoles,conductor,moto,masculino,22
2021-0046,1,2021-05-31,2,avenida,elcano av. y guzman av.,15,-58.46033141,-34.58569883,auto,objeto fijo,lunes,pasajero_acompañante,auto,masculino,20
2021-0047,1,2021-06-02,16,avenida,"vedia, agustin de y rabanal, francisco, intendente av.",4,-58.42190745,-34.65633192,moto,auto,miércoles,conductor,moto,masculino,59
2021-0048,1,2021-06-03,9,avenida,capdevila y congreso av.,12,-58.49026573,-34.5698141,bicicleta,auto,jueves,ciclista,bicicleta,masculino,44
2021-0049,1,2021-06-03,20,avenida,"fernandez de la cruz, f., gral. av. 4000",8,-58.45410344,-34.66902702,auto,auto,jueves,conductor,auto,masculino,74
2021-0050,1,2021-06-10,13,avenida,del libertador av. 5958,13,-58.44751621,-34.55719892,moto,pasajeros,jueves,conductor,moto,masculino,56
2021-0051,1,2021-06-15,19,avenida,27 de febrero av. y erezcano av.,4,-58.42040352,-34.66005171,peaton,cargas,martes,peaton,peaton,masculino,73
2021-0052,1,2021-06-20,5,autopista,"paz, gral. av. 14723",8,-58.49530249,-34.68010798,moto,objeto fijo,domingo,pasajero_acompañante,moto,femenino,19
2021-0053,1,2021-06-20,12,avenida,corrientes av. 5783,15,-58.44399875,-34.5947736,peaton,bicicleta,domingo,peaton,peaton,masculino,58
2021-0054,1,2021-06-22,14,calle,tabare y erezcano,4,-58.42759813,-34.65463857,moto,cargas,martes,conductor,moto,masculino,41
2021-0055,1,2021-06-29,12,avenida,corrientes av. y pueyrredon av.,3,-58.40547222,-34.60456293,moto,cargas,martes,pasajero_acompañante,moto,masculino,47
2021-0056,1,2021-07-09,23,avenida,"corrales y moreno, perito av.",4,-58.42473018,-34.6500828,bicicleta,auto,viernes,ciclista,bicicleta,masculino,60
2021-0057,1,2021-07-10,23,autopista,autopista  arturo illia (cabina de peaje),2,-58.39257023,-34.57563957,auto,objeto fijo,sábado,conductor,auto,masculino,46
2021-0058,1,2021-07-21,0,autopista,"paz, gral. av. y vedia",12,-58.48941042,-34.54596153,peaton,auto,miércoles,peaton,peaton,masculino,24
2021-0059,1,2021-07-22,1,avenida,"garay, juan de av. 2269",3,-58.3964074,-34.62783085,auto,objeto fijo,jueves,pasajero_acompañante,auto,femenino,44
2021-0060,1,2021-07-22,12,avenida,"salguero, jeronimo y rivadavia av.",5,-58.41971993,-34.6111224,peaton,pasajeros,jueves,peaton,peaton,femenino,80
2021-0061,1,2021-07-24,9,avenida,"moreno, perito av. y alcorta, amancio av.",4,-58.40544588,-34.65012801,peaton,cargas,sábado,peaton,peaton,femenino,55
2021-0062,1,2021-07-27,7,avenida,la plata av. 2723,4,-58.42003882,-34.64645957,auto,cargas,martes,conductor,auto,masculino,73
2021-0063,1,2021-08-02,4,avenida,"alberdi, juan bautista av. 2906",7,-58.46851293,-34.63348678,auto,auto,lunes,pasajero_acompañante,auto,femenino,31
2021-0064,1,2021-08-02,20,autopista,"paz, gral. av. y tonelero",9,-58.52931141,-34.65422917,peaton,cargas,lunes,peaton,peaton,masculino,37
2021-0065,1,2021-08-06,8,avenida,san juan av. y la plata av.,6,-58.42675754,-34.6269973,peaton,pasajeros,viernes,peaton,peaton,femenino,63
2021-0066,1,2021-08-06,20,avenida,"lope de vega av. y paz, gral. av.",11,-58.52933723,-34.61098186,peaton,pasajeros,viernes,peaton,peaton,masculino,59
